"name","version","symbolicName"
"Adobe Granite UI Clientlibs - Google Closure Compiler","1.0.24.V660-B0010","com.adobe.granite.ui.clientlibs.processor.gcc"
"Adobe Granite UI Clientlibs - Less Compiler","1.1.2","com.adobe.granite.ui.clientlibs.compiler.less"
"Adobe Granite UI Commons","5.10.15.V660-B0006","com.adobe.granite.ui.commons"
"Adobe Granite UI Tags","1.0.0","com.adobe.granite.ui.tags"
"Adobe Granite UI Widgets","6.0.8","com.day.cq.cq-widgets"
"Adobe Granite Workflow API","1.0.22.V660-B0001","com.adobe.granite.workflow.api"
"Adobe Granite Workflow Console","1.0.118.V660-B0003","com.adobe.granite.workflow.console"
"Adobe Granite Workflow Core","2.0.240.V660-B0003","com.adobe.granite.workflow.core"
"Adobe Granite XSS Protection","5.8.2","com.day.cq.cq-xssprotection"
"Adobe IMS Core Bundle","1.1.26.V660-B0002","com.adobe.cq.adobeims.core"
"Adobe PDF Core","4.0.1704453728","pdfcore"
"Adobe PDF Encryption","4.0.1704453728","pdfencryption"
"Adobe PDF Extraction services","4.0.1704453728","PDFServices_extraction"
"Adobe PDF Java Toolkit","1.1.2","com.adobe.granite.gibson"
"Adobe PDF Manipulation services","4.0.1704453728","PDFServices_manipulations"
"Adobe PDF Security services","4.0.1704453728","PDFServices_security"
"Adobe Reef Siren","1.0.4","com.adobe.reef.siren.core"
"Adobe Rideau(I/O)","3.0.552257","rideau"
"Adobe Stock Apis SDK","1.0.10","com.adobe.stock.api"
"Adobe XMP Core Duo","1.0.4","com.adobe.xmp.core"
"Adobe XMP RNG Parser","1.0.7","com.adobe.xmp.schema.rngparser"
"Adobe XMP Schema Model","1.0.9","com.adobe.xmp.schema.model"
"Adobe XMP Schema Service","2.0.0","com.adobe.xmp.schema.service"
"Adobe XMPCore","6.2.9.B001","com.adobe.xmp.xmpcore"
"AEM - DAM Sling Model Bundle","1.0.20","com.adobe.cq.dam.cq-dam-ui-models"
"AEM - Experience Fragments","1.2.114","com.adobe.cq.cq-experience-fragments"
"AEM - Experience Fragments Social","1.2.10","com.adobe.cq.cq-experience-fragments-social"
"AEM - Inbox API","1.0.14.V660-B0001","com.adobe.cq.inbox.cq-inbox-api"
"AEM - Inbox Core","1.2.28.V660-B0001","com.adobe.cq.inbox.cq-inbox"
"AEM - Inbox UI","1.2.22.V660-B0001","com.adobe.cq.inbox.cq-inbox-ui"
"AEM - Reference Update Processor API bundle","1.1.2","com.adobe.cq.cq-ref-update-processor-api"
"AEM - Reference Update Processor Impl bundle","1.0.18","com.adobe.cq.cq-ref-update-processor-impl"
"AEM - Reference Update Processor Utility bundle","1.0.2","com.adobe.cq.cq-ref-update-processor-util"
"AEM - Social Media Integration","1.2.10","com.adobe.cq.cq-socialmedia-integration"
"AEM 6 - Adobe Target integration","1.3.64.V660-B0003","com.adobe.cq.cq-target-integration"
"AEM 6 - Adobe Target Recommendations Integration","1.4.4.V660-B0001","com.adobe.cq.cq-targetrecommendations"
"AEM 6 - MSM Support for Adobe Target integration","1.1.2.V660-B0001","com.adobe.cq.cq-multisite-targeting"
"AEM 6 ActivityMap Integration Bundle","1.2.8","com.adobe.cq.cq-activitymap-integration"
"AEM 6 Analytics Integration Bundle","1.3.36.V660-B0001","com.adobe.cq.cq-analytics-integration"
"AEM API metrics agent","2.6.4","aem-api-metrics"
"AEM API metrics agent add-on for registry-based vault package analysis","1.0.4","aem-api-metrics-registry-based-vault-addon"
"AEM Cloud Services - Provisioning Bundle","1.2.8","com.adobe.cq.cq-cloudservices-provisioning"
"AEM Communities Sync - Bundle","1.3.16","com.adobe.cq.social.cq-social-sync"
"AEM Dynamic Media Integration","1.0.180","com.adobe.cq.dam.cq-dynamicmedia-core"
"AEM Dynamic Media Integration API","1.0.14","com.adobe.cq.dam.cq-dynamicmedia-api"
"AEM Forms and Documents Core","8.1.16","com.adobe.aemds.formsmanager.adobe-aemds-formsanddocuments-core"
"AEM Forms Transaction Core Bundle","2.1.2","com.adobe.aem.transaction-core"
"AEM MSM - UI Utilities","0.2.22","com.adobe.cq.com.adobe.cq.msm.ui"
"AEM Personalization","5.12.54","com.day.cq.cq-personalization"
"AEM Pre-Upgrade Maintenance Tasks","1.5.6","com.day.cq.pre-upgrade-tasks"
"AEM Sites - UI Utilities","0.3.12","com.adobe.cq.com.adobe.cq.sites.ui"
"AEM UI WCM Admin Bundle","1.0.0.V660-B0004","com.adobe.cq.ui.admin"
"AEM UI WCM Commons Bundle","1.3.59.V660-B0005","com.adobe.cq.com.adobe.cq.ui.commons"
"AEM UI WCM Editor Bundle","1.3.18","com.adobe.cq.com.adobe.cq.editor"
"AEM WCM - Models Extension","1.0.4","com.day.cq.wcm.cq-wcm-models-extension"
"AEM WCM Components - UI Utilities","1.2.6","com.day.cq.com.adobe.cq.wcm.ui.components"
"AEM WCM Style API","1.1.6","com.adobe.cq.com.adobe.cq.wcm.style"
"AEM WCM Utility to manage hierarchies","0.9.4","com.adobe.aem.com.adobe.aem.wcm.hierarchical-object"
"ANTLR 4 Runtime","4.7.1","org.antlr.antlr4-runtime"
"Apache Apache HttpClient OSGi bundle (Adobe vendor branch)","4.5.13.B0001","org.apache.httpcomponents.httpclient"
"Apache Apache HttpCore OSGi bundle","4.4.8","org.apache.httpcomponents.httpcore"
"Apache Aries JMX API","1.1.5","org.apache.aries.jmx.api"
"Apache Aries JMX Core","1.1.8","org.apache.aries.jmx.core"
"Apache Aries Transaction Manager","1.2.0","org.apache.aries.transaction.manager"
"Apache Aries Util","1.1.3","org.apache.aries.util"
"Apache Aries Whiteboard support for JMX DynamicMBean services","1.2.0","org.apache.aries.jmx.whiteboard"
"Apache Cocoon XML Utilities","2.0.2","org.apache.cocoon.cocoon-xml"
"Apache Commons Codec","1.18.0","org.apache.commons.commons-codec"
"Apache Commons Collections","3.2.2.adobe-2","org.apache.commons.collections"
"Apache Commons Collections","4.5.0","org.apache.commons.commons-collections4"
"Apache Commons Compress","1.26.2","org.apache.commons.commons-compress"
"Apache Commons Email","1.5.0","org.apache.commons.email"
"Apache Commons Exec","1.3.0","org.apache.commons.exec"
"Apache Commons FileUpload","1.6.0","org.apache.commons.commons-fileupload"
"Apache Commons Imaging","1.0.0.alpha3","org.apache.commons.commons-imaging"
"Apache Commons IO","2.18.0","org.apache.commons.commons-io"
"Apache Commons Lang","3.17.0","org.apache.commons.lang3"
"Apache Commons Text","1.10.0","org.apache.commons.commons-text"
"Apache Felix - Root Cause Analysis","0.2.0","org.apache.felix.rootcause"
"Apache Felix Configuration Admin Service","1.9.24","org.apache.felix.configadmin"
"Apache Felix Configuration Admin Values Interpolation Plugin","1.2.6","org.apache.felix.configadmin.plugin.interpolation"
"Apache Felix Configuration Json","2.0.6","org.apache.felix.cm.json"
"Apache Felix Coordinator Service","1.0.2","org.apache.felix.coordinator"
"Apache Felix Declarative Services","2.2.12","org.apache.felix.scr"
