"name","version","downloadName"
"cq-integration-activitymap-content","1.2.6","cq-integration-activitymap-content-1.2.6.zip"
"cq-integration-analytics-content","1.3.42-V660-B0003","cq-integration-analytics-content-1.3.42-V660-B0003.zip"
"cq-integration-dtm-content","1.3.4-V660-B0001","cq-integration-dtm-content-1.3.4-V660-B0001.zip"
"cq-integration-target-content","1.3.66-V660-B0003","cq-integration-target-content-1.3.66-V660-B0003.zip"
"cq-launches-content","1.7.52","cq-launches-content-1.7.52.zip"
"cq-mcm-content","1.4.92","cq-mcm-content-1.4.92.zip"
"cq-msm-content","6.5.218","cq-msm-content-6.5.218.zip"
"cq-personalization-content","1.3.162","cq-personalization-content-1.3.162.zip"
"cq-platform-content","1.5.242","cq-platform-content-1.5.242.zip"
"cq-portlet-director","5.5.26","cq-portlet-director-5.5.26.zip"
"cq-projects-content","1.5.66-V660-B0007","cq-projects-content-1.5.66-V660-B0007.zip"
"cq-projects-translation-content","1.4.96","cq-projects-translation-content-1.4.96.zip"
"cq-reporting-content","1.0.4","cq-reporting-content-1.0.4.zip"
"cq-ui-classic-content","1.5.158","cq-ui-classic-content-1.5.158.zip"
"cq-ui-static-typekit-content","1.3.4","cq-ui-static-typekit-content-1.3.4.zip"
"cq-ui-touch-optimized-content","2.6.242","cq-ui-touch-optimized-content-2.6.242.zip"
"cq-ui-wcm-admin-content","1.1.184","cq-ui-wcm-admin-content-1.1.184.zip"
"cq-ui-wcm-commons-content","1.1.287-V660-B0022","cq-ui-wcm-commons-content-1.1.287-V660-B0022.zip"
"cq-ui-wcm-editor-content","1.1.517-V660-B0022","cq-ui-wcm-editor-content-1.1.517-V660-B0022.zip"
"cq-wcm-content","6.5.224","cq-wcm-content-6.5.224.zip"
"cq-workflow-console-content","1.4.100-V660-B0022","cq-workflow-console-content-1.4.100-V660-B0022.zip"
"myspell-content","1.0.2","myspell-content-1.0.2.zip"
"sites-graphql-content","0.0.1-V660-B0009","sites-graphql-content-0.0.1-V660-B0009.zip"
"smartcontent-content","0.2.2","smartcontent-content-0.2.2.zip"
"cq-experience-fragments-content","1.2.180","cq-experience-fragments-content-1.2.180.zip"
